sim_time,reservation_time_trigger,repositioning_strategy,RV_computation_time,Update_V2RB_computation_time,Compute_V2RB_computation_time,Solve_assignment_computation_time,N_V2RBs_at_start,N_V2RBs_after_update,N_V2RBs_after_build,N_Rqs_unassigned,N_Rqs_assigned,N_Rqs_locked,user_requests,request_batch
4080,0.0,0.0,0.030016422271728516,0.0,0.003448009490966797,0.0031108856201171875,5,7,17,0,1,6,0.03278,0.03856
4140,0.0,0.0,0.05391669273376465,0.0,0.010807037353515625,0.0032291412353515625,5,7,29,0,2,6,0.05788,0.07108
4200,0.0,0.022,0.07016944885253906,0.0015683174133300781,0.004678487777709961,0.0031936168670654297,4,4,24,0,2,4,0.07298,0.08081
4260,0.0,0.0,0.036583900451660156,0.0,0.004968404769897461,0.0015845298767089844,5,5,14,0,1,5,0.0397,0.04604
4320,0.0,0.0,0.030785560607910156,0.0,0.003177642822265625,0.002971172332763672,5,5,16,0,1,5,0.03354,0.03858
4380,0.0,0.0,0.0,0.0,0.0,0.003008604049682617,4,4,4,0,0,4,0.0,0.0045
4440,0.0,0.0,0.06879901885986328,0.0,0.0045850276947021484,0.004670143127441406,4,4,24,0,2,4,0.07375,0.07833
4500,0.0,0.018,0.0,0.0010385513305664062,0.0,0.0015511512756347656,5,5,5,0,0,5,0.0,0.00485
4560,0.0,0.0,0.0,0.0006089210510253906,0.0,0.002095937728881836,4,4,4,0,0,4,0.0,0.00452
4620,0.0,0.0,0.07064962387084961,0.0015676021575927734,0.003147602081298828,0.003129243850708008,4,4,17,0,2,4,0.07229,0.08133
4680,0.0,0.0,0.12315630912780762,0.0,0.06022500991821289,0.004756927490234375,9,7,55,0,5,3,0.1498,0.1923
4740,0.0,0.0,0.03891921043395996,0.0,0.0047321319580078125,0.0032396316528320312,14,13,23,0,2,6,0.04087,0.04968
4800,0.0,0.018,0.06544065475463867,0.02202439308166504,0.01151132583618164,0.0031762123107910156,20,15,42,0,4,5,0.07084,0.10596
4860,0.0,0.0,0.031833648681640625,0.0,0.003885030746459961,0.0017895698547363281,7,9,15,0,1,8,0.03171,0.04147
4920,0.0,0.0,0.02494502067565918,0.0,0.004731178283691406,0.0031652450561523438,9,7,19,0,2,4,0.02685,0.03454
4980,0.0,0.0,0.038782358169555664,0.0,0.0031137466430664062,0.003131389617919922,8,5,17,0,2,4,0.04271,0.04789
5040,0.0,0.0,0.07108473777770996,0.0031490325927734375,0.004706621170043945,0.004796504974365234,3,3,26,0,2,3,0.07627999999999999,0.0867
5100,0.0,0.018,0.0979008674621582,0.001672983169555664,0.011353254318237305,0.00588226318359375,3,5,30,0,3,4,0.1061,0.11962
5160,0.0,0.0,0.058834075927734375,0.014204740524291992,0.011043071746826172,0.003054380416870117,11,10,25,0,4,5,0.06332,0.08989
5220,0.0,0.0,0.039215803146362305,0.0354001522064209,0.01201486587524414,0.004753589630126953,14,14,24,0,4,5,0.04024,0.09501
5280,0.0,0.0,0.0673837661743164,0.010824203491210938,0.009845495223999023,0.0035505294799804688,16,16,34,0,4,6,0.07053000000000001,0.09459
5340,0.0,0.0,0.03309798240661621,0.0020711421966552734,0.0025634765625,0.0031740665435791016,15,13,23,0,3,7,0.03398,0.04422
5400,0.0,0.025,0.03872990608215332,0.003247976303100586,0.004735708236694336,0.004163980484008789,17,17,30,0,3,7,0.03983,0.05564
